date,I,T,R
01/22/2020,554,571,17
01/23/2020,771,830,59
01/24/2020,1208,1287,79
01/25/2020,1870,1975,105
01/26/2020,2613,2744,131
01/27/2020,4349,4515,166
01/28/2020,5739,5974,235
01/29/2020,7417,7711,294
01/30/2020,9308,9692,384
01/31/2020,11289,11791,502
02/01/2020,13748,14380,632
02/02/2020,16369,17205,836
02/03/2020,19383,20440,1057
02/04/2020,22942,24324,1382
02/05/2020,26302,28018,1716
02/06/2020,28985,31161,2176
02/07/2020,31774,34546,2772
02/08/2020,35784,39244,3460
02/09/2020,39022,43211,4189
02/10/2020,42406,47418,5012
02/11/2020,46542,52404,5862
02/12/2020,51591,58761,7170
02/13/2020,55748,63851,8103
02/14/2020,56873,66492,9619
02/15/2020,57416,68500,11084
02/16/2020,57934,70548,12614
02/17/2020,58016,72436,14420
02/18/2020,57805,74185,16380
02/19/2020,56301,74576,18275
02/20/2020,54921,75465,20544
02/21/2020,53284,76288,23004
02/22/2020,52093,76936,24843
02/23/2020,49824,77150,27326
02/24/2020,47765,77658,29893
02/25/2020,45600,78064,32464
02/26/2020,43258,78497,35239
02/27/2020,39919,78824,38905
02/28/2020,37414,79251,41837
02/29/2020,35129,79824,44695
03/01/2020,32616,80026,47410
03/02/2020,30004,80151,50147
03/03/2020,27423,80270,52847
03/04/2020,25353,80409,55056
03/05/2020,23784,80552,56768
03/06/2020,22179,80651,58472
03/07/2020,20533,80695,60162
03/08/2020,19016,80735,61719
03/09/2020,17721,80754,63033
03/10/2020,16136,80778,64642
03/11/2020,14831,80793,65962
03/12/2020,13524,80813,67289
03/13/2020,12088,80824,68736
03/14/2020,10733,80844,70111
03/15/2020,9893,80860,70967
03/16/2020,8967,80881,71914
03/17/2020,8056,80894,72838
03/18/2020,7263,80928,73665
03/19/2020,6569,80967,74398
03/20/2020,6013,81008,74995
03/21/2020,5353,81054,75701
03/22/2020,5120,81093,75973
03/23/2020,4735,81171,76436
03/24/2020,4287,81218,76931
03/25/2020,3947,81285,77338
03/26/2020,3460,81340,77880
03/27/2020,3128,81394,78266
03/28/2020,2691,81439,78748
03/29/2020,2691,81439,78748
03/30/2020,2161,81518,79357
03/31/2020,2004,81554,79550
